#Roots: 1
Root indexes:	12676 
82:	Offset: 800  Size:28  Children:9	[7170,7190][3653,3673][2120,2140]
83:	Offset: 834  Size:1  Children:0	[7180,7180][3670,3670][2137,2137]
84:	Offset: 841  Size:1  Children:0	[7178,7178][3669,3669][2136,2136]
85:	Offset: 848  Size:1  Children:0	[7179,7179][3658,3658][2125,2125]
86:	Offset: 855  Size:1  Children:0	[7171,7171][3671,3671][2138,2138]
87:	Offset: 862  Size:1  Children:0	[7170,7170][3672,3672][2139,2139]
88:	Offset: 869  Size:1  Children:0	[7172,7172][3668,3668][2135,2135]
89:	Offset: 876  Size:1  Children:0	[7181,7181][3659,3659][2126,2126]
90:	Offset: 883  Size:4  Children:1	[7192,7193][3498,3499][1965,1966]
91:	Offset: 893  Size:1  Children:0	[7192,7192][3498,3498][1965,1965]
92:	Offset: 900  Size:4  Children:1	[7198,7199][3517,3518][1984,1985]
93:	Offset: 910  Size:1  Children:0	[7198,7198][3517,3517][1984,1984]
94:	Offset: 917  Size:7  Children:2	[7195,7197][3514,3516][1981,1983]
95:	Offset: 930  Size:1  Children:0	[7195,7195][3514,3514][1981,1981]
96:	Offset: 937  Size:1  Children:0	[7196,7196][3515,3515][1982,1982]
97:	Offset: 944  Size:15  Children:4	[7203,7207][3506,3510][1973,1977]
98:	Offset: 965  Size:1  Children:0	[7205,7205][3509,3509][1976,1976]
99:	Offset: 972  Size:1  Children:0	[7203,7203][3506,3506][1973,1973]
100:	Offset: 980  Size:1  Children:0	[7204,7204][3507,3507][1974,1974]
101:	Offset: 988  Size:1  Children:0	[7206,7206][3508,3508][1975,1975]
102:	Offset: 996  Size:20  Children:5	[7200,7209][3502,3511][1969,1978]
103:	Offset: 1023  Size:1  Children:0	[7201,7201][3502,3502][1969,1969]
104:	Offset: 1031  Size:1  Children:0	[7200,7200][3503,3503][1970,1970]
105:	Offset: 1039  Size:1  Children:0	[7202,7202][3505,3505][1972,1972]
106:	Offset: 1047  Size:1  Children:0	[7208,7208][3504,3504][1971,1971]
107:	Offset: 1055  Size:13  Children:3	[7200,7212][3501,3513][1968,1980]
108:	Offset: 1075  Size:1  Children:0	[7210,7210][3501,3501][1968,1968]
109:	Offset: 1083  Size:1  Children:0	[7211,7211][3512,3512][1979,1979]
110:	Offset: 1091  Size:30  Children:8	[7191,7215][3495,3519][1962,1986]
111:	Offset: 1128  Size:1  Children:0	[7214,7214][3496,3496][1963,1963]
112:	Offset: 1136  Size:1  Children:0	[7213,7213][3500,3500][1967,1967]
113:	Offset: 1144  Size:1  Children:0	[7191,7191][3495,3495][1962,1962]
114:	Offset: 1152  Size:1  Children:0	[7194,7194][3497,3497][1964,1964]
115:	Offset: 1160  Size:17  Children:4	[7032,7036][3706,3710][2173,2177]
116:	Offset: 1184  Size:1  Children:0	[7034,7034][3709,3709][2176,2176]
117:	Offset: 1192  Size:1  Children:0	[7032,7032][3706,3706][2173,2173]
118:	Offset: 1200  Size:1  Children:0	[7033,7033][3707,3707][2174,2174]
119:	Offset: 1208  Size:1  Children:0	[7035,7035][3708,3708][2175,2175]
120:	Offset: 1216  Size:25  Children:6	[7022,7028][3696,3702][2163,2169]
121:	Offset: 1248  Size:1  Children:0	[7027,7027][3700,3700][2167,2167]
122:	Offset: 1256  Size:1  Children:0	[7024,7024][3696,3696][2163,2163]
123:	Offset: 1264  Size:1  Children:0	[7023,7023][3699,3699][2166,2166]
124:	Offset: 1272  Size:1  Children:0	[7026,7026][3701,3701][2168,2168]
125:	Offset: 1280  Size:1  Children:0	[7025,7025][3698,3698][2165,2165]
126:	Offset: 1288  Size:1  Children:0	[7022,7022][3697,3697][2164,2164]
127:	Offset: 1296  Size:17  Children:4	[7012,7016][3686,3690][2153,2157]
128:	Offset: 1320  Size:1  Children:0	[7014,7014][3689,3689][2156,2156]
129:	Offset: 1328  Size:1  Children:0	[7012,7012][3686,3686][2153,2153]
130:	Offset: 1336  Size:1  Children:0	[7013,7013][3687,3687][2154,2154]
131:	Offset: 1344  Size:1  Children:0	[7015,7015][3688,3688][2155,2155]
132:	Offset: 1352  Size:21  Children:5	[7009,7018][3682,3691][2149,2158]
133:	Offset: 1380  Size:1  Children:0	[7010,7010][3682,3682][2149,2149]
134:	Offset: 1388  Size:1  Children:0	[7009,7009][3683,3683][2150,2150]
135:	Offset: 1396  Size:1  Children:0	[7011,7011][3685,3685][2152,2152]
136:	Offset: 1404  Size:1  Children:0	[7017,7017][3684,3684][2151,2151]
137:	Offset: 1412  Size:9  Children:2	[7019,7021][3692,3694][2159,2161]
138:	Offset: 1428  Size:1  Children:0	[7019,7019][3692,3692][2159,2159]
139:	Offset: 1436  Size:1  Children:0	[7020,7020][3693,3693][2160,2160]
140:	Offset: 1444  Size:17  Children:4	[7009,7030][3682,3703][2149,2170]
141:	Offset: 1468  Size:1  Children:0	[7029,7029][3695,3695][2162,2162]
142:	Offset: 1476  Size:17  Children:4	[7009,7038][3682,3711][2149,2178]
143:	Offset: 1500  Size:1  Children:0	[7031,7031][3704,3704][2171,2171]
144:	Offset: 1508  Size:1  Children:0	[7037,7037][3705,3705][2172,2172]
145:	Offset: 1516  Size:37  Children:9	[6918,6927][3786,3795][2253,2262]
146:	Offset: 1560  Size:1  Children:0	[6921,6921][3786,3786][2253,2253]
